uid,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,easting,northing,utmZone,elevation,elevationUncertainty,eventID
93ee1436-cdd8-40bd-96c4-0585f36b904f,BART_002,distributed,deciduousForest,44.035081,-71.27285,WGS84,317881.99,4878280.73,19N,550.8,0.4,vst_BART_2016
4b5f972f-d00f-4766-b7d7-ae488e058416,BART_003,distributed,deciduousForest,44.055252,-71.263154,WGS84,318720.48,4880499.77,19N,439.5,0.3,vst_BART_2016
66594b70-4db4-4005-bfc8-e42a1bdba15d,BART_006,distributed,deciduousForest,44.060511,-71.310914,WGS84,314911.21,4881190.14,19N,432.7,0.2,vst_BART_2016
730098e8-30a7-4b7a-a5ee-fde5318cc416,BART_007,distributed,mixedForest,44.049696,-71.298487,WGS84,315873.02,4879961.03,19N,388.4,0.2,vst_BART_2016
07c96abe-6d78-4818-8b2e-f33fac4d06b5,BART_010,distributed,deciduousForest,44.050073,-71.26668,WGS84,318422.21,4879932.29,19N,430.2,0.2,vst_BART_2016
557410ec-351d-4348-97e5-6dc0625c4f03,BART_011,distributed,mixedForest,44.050006,-71.296275,WGS84,316051.18,4879990.52,19N,370.1,0.2,vst_BART_2016
afc50622-9684-4d6e-b96d-ebad6067e574,BART_012,distributed,deciduousForest,44.046089,-71.316317,WGS84,314433.4,4879600.41,19N,558.9,0.4,vst_BART_2016
6d597101-9c98-4ba3-bb18-9431dfe590b0,BART_013,distributed,deciduousForest,44.041738,-71.277599,WGS84,317521.9,4879030.64,19N,414.8,0.2,vst_BART_2016
591a2808-5add-4072-bb13-b57bf33c3460,BART_015,distributed,mixedForest,44.042903,-71.273126,WGS84,317883.85,4879150.14,19N,439.2,0.2,vst_BART_2016
12dbf09b-5f23-4ab7-8736-d0cf4491c1c7,BART_016,distributed,mixedForest,44.051257,-71.288457,WGS84,316681.33,4880112.04,19N,316.8,0.3,vst_BART_2016
64640bd2-9433-4e7f-9562-5fc99b306551,BART_023,distributed,evergreenForest,44.049319,-71.263643,WGS84,318663.2,4879841.85,19N,503,0.5,vst_BART_2016
c64523e3-548b-4fe3-93c6-d5ee23f9c10a,BART_032,tower,deciduousForest,44.067479,-71.287582,WGS84,316801.48,4881911.91,19N,245.4,0.3,vst_BART_2017
16461f34-02e0-4166-8f58-15295c1e2393,BART_033,tower,deciduousForest,44.063204,-71.283666,WGS84,317101.93,4881428.37,19N,273.5,0.2,vst_BART_2015
ecdf17c1-d9f5-46c2-84b2-eeff103417cf,BART_034,tower,mixedForest,44.064283,-71.285609,WGS84,316949.64,4881552.53,19N,267.5,0.3,vst_BART_2015
1608ce88-1013-42aa-af45-fc81c0f8f335,BART_036,tower,deciduousForest,44.06208,-71.285876,WGS84,316921.46,4881308.43,19N,293.2,0.3,vst_BART_2015
5ac133b6-1089-4f32-9c26-27c3fd6b2597,BART_037,tower,deciduousForest,44.061597,-71.283251,WGS84,317130.21,4881248.95,19N,292.5,0.2,vst_BART_2016
adee918d-614e-4fe5-8e55-2888e0b44d13,BART_039,tower,deciduousForest,44.063683,-71.288953,WGS84,316679.96,4881493.33,19N,274.1,0.2,vst_BART_2015
82d7a1a9-f62c-4d1e-8001-9af311e4cf86,BART_040,tower,deciduousForest,44.065761,-71.291993,WGS84,316442.91,4881730.91,19N,260.5,0.3,vst_BART_2018
0c0a772b-d3ee-46ba-9d3d-edfbff52da63,BART_041,tower,deciduousForest,44.06534,-71.285606,WGS84,316953.13,4881669.93,19N,260.7,0.4,vst_BART_2016
5edda15a-f3fc-4594-ad03-8aebc880edcf,BART_042,tower,deciduousForest,44.060186,-71.288047,WGS84,316741.73,4881102.89,19N,288.8,0.2,vst_BART_2015
c4207c9a-028a-4a26-a4ee-5d1a70df1e66,BART_044,tower,deciduousForest,44.061037,-71.284327,WGS84,317042.31,4881189.14,19N,302.9,0.3,vst_BART_2016
bb8da651-8f65-4388-acae-5f02a871bd94,BART_046,tower,deciduousForest,44.059946,-71.28541,WGS84,316952.2,4881070.37,19N,304.7,0.3,vst_BART_2018
41912482-10ae-47cb-8842-3084578ff883,BART_047,tower,deciduousForest,44.064958,-71.290866,WGS84,316530.69,4881639.21,19N,266.9,0.3,vst_BART_2017
f58af446-587a-4edd-9284-bcc3e99c95d5,BART_050,tower,mixedForest,44.061507,-71.2877,WGS84,316773.6,4881248.85,19N,287.8,0.2,vst_BART_2015
8ed0152a-4504-4217-ae90-a0da706ead13,BART_051,tower,deciduousForest,44.062849,-71.287737,WGS84,316774.78,4881397.99,19N,280,0.4,vst_BART_2016
5fc3e251-3463-4fd1-9272-60b62bcb6c77,BART_070,tower,mixedForest,44.064339,-71.281445,WGS84,317283.3,4881549.5,19N,249.8,0.2,vst_BART_2017
092bccf6-a916-4b83-8d8c-dc68f9c1ce1a,BART_071,tower,mixedForest,44.067946,-71.29062,WGS84,316559.62,4881970.54,19N,256.5,0.2,vst_BART_2015
921b4fb9-bbf8-473c-bea8-ae81763a73dd,BART_072,tower,deciduousForest,44.060736,-71.286195,WGS84,316891.76,4881159.86,19N,296.6,0.3,vst_BART_2015
f8718ed4-1a1d-4623-9c4c-2011f0ae7cc9,BART_073,tower,mixedForest,44.06477,-71.28861,WGS84,316710.79,4881613.3,19N,280.7,0.3,vst_BART_2015
6044947a-5c76-49d8-8af2-19bc93b1417f,BART_074,tower,mixedForest,44.060251,-71.283201,WGS84,317130.07,4881099.34,19N,310.8,0.2,vst_BART_2017
73327a64-0f43-4c50-b77b-e915a8fcd390,BART_075,tower,mixedForest,44.059135,-71.286503,WGS84,316862.16,4880982.72,19N,297.1,0.3,vst_BART_2015
73790596-a8b7-49ca-9c1b-16c4b1db7d53,BLAN_001,distributed,deciduousForest,39.087923,-77.958384,WGS84,763078.17,4330938.68,17N,128,0.2,vst_BLAN_2015
b155cf9f-9fdd-4b06-b74f-a7a007728925,BLAN_005,distributed,deciduousForest,39.087455,-77.971943,WGS84,761906.92,4330847.52,17N,137.3,0.2,vst_BLAN_2015
67a326c1-0e4c-4911-9653-b199a5001bf3,BLAN_007,distributed,deciduousForest,39.085481,-77.969266,WGS84,762145.82,4330636.12,17N,157.1,0.2,vst_BLAN_2015
5654fb16-498c-46d7-a693-fc966908e2fa,BLAN_009,distributed,deciduousForest,39.086827,-77.957749,WGS84,763137.18,4330818.86,17N,134.5,0.2,vst_BLAN_2015
93ebb462-b341-4a0c-a963-d31b30c50673,BLAN_011,distributed,deciduousForest,39.087236,-77.974007,WGS84,761729.17,4330817.25,17N,142.4,0.3,vst_BLAN_2015
fe1b334c-b3f7-4b27-9ddb-6aee0b3a39bc,BLAN_012,distributed,deciduousForest,39.082049,-77.961087,WGS84,762866.16,4330278.8,17N,138,0.3,vst_BLAN_2015
f854300f-c3c8-40e2-9c47-5d4ddfd8963b,BLAN_013,distributed,deciduousForest,39.080852,-77.968086,WGS84,762265.06,4330125.69,17N,140.2,0.2,vst_BLAN_2015
4dfe1905-8733-4915-aa58-9ab1b977d3c5,BLAN_015,distributed,deciduousForest,39.087543,-77.954621,WGS84,763405.12,4330907.41,17N,124.5,0.2,vst_BLAN_2015
699bcfa4-50c7-4b21-867e-c183bad04a9d,BLAN_017,distributed,deciduousForest,39.086358,-77.970995,WGS84,761992.99,4330728.48,17N,144.4,0.4,vst_BLAN_2015
4ded65e1-3581-49d1-ab5f-d4b5451e7488,BLAN_018,distributed,deciduousForest,39.081529,-77.962496,WGS84,762746.19,4330217,17N,139.7,0.3,vst_BLAN_2015
0cc1d45e-e8cd-4187-9ded-103eb7b332ba,BLAN_032,tower,shrubScrub,39.058572,-78.073304,WGS84,753241.57,4327353.87,17N,184.7,0.1,vst_BLAN_2018
dc108c02-e5df-448e-bb1d-30e6012b55aa,BLAN_035,tower,shrubScrub,39.057245,-78.073734,WGS84,753209.1,4327205.37,17N,183.6,0.1,vst_BLAN_2017
0e161df7-ff30-4f6a-8925-785133df5d78,BLAN_036,tower,shrubScrub,39.061573,-78.073984,WGS84,753171.99,4327685.09,17N,184,0.3,vst_BLAN_2017
78dfdb7b-4a2a-404c-a540-9696cb698fec,BLAN_041,tower,shrubScrub,39.061567,-78.073175,WGS84,753242.03,4327686.68,17N,184,0.1,vst_BLAN_2015
8b36bbda-857b-405f-b43a-f091a7fa8027,BLAN_044,tower,shrubScrub,39.059389,-78.072571,WGS84,753302.09,4327446.6,17N,183.7,0.1,vst_BLAN_2017
0d1b879a-d04d-45ff-8561-bf3cc657766c,BLAN_047,tower,deciduousForest,39.060777,-78.074263,WGS84,753150.69,4327595.96,17N,181.1,0.1,vst_BLAN_2017
48f0f1bb-fd2d-4e94-aecd-f8cb32a79b98,BLAN_048,tower,deciduousForest,39.061358,-78.075965,WGS84,753001.33,4327655.71,17N,189.5,0.2,vst_BLAN_2015
68351c65-4243-4ac0-8b58-c06e005b77f6,BLAN_050,tower,shrubScrub,39.058855,-78.072602,WGS84,753301.31,4327387.24,17N,183.1,0.1,vst_BLAN_2015
3129713f-d22d-4daa-82b2-528b86b474d7,BLAN_052,tower,shrubScrub,39.059366,-78.071895,WGS84,753360.67,4327445.94,17N,182.8,0.1,vst_BLAN_2015
50e46720-99ec-4a14-95da-1cd5ae56f7fe,BLAN_053,tower,shrubScrub,39.058047,-78.073686,WGS84,753210.39,4327294.53,17N,186.4,0.1,vst_BLAN_2015
e5fc0e2b-d9eb-41cd-995c-9fc91c1233ce,BLAN_055,tower,shrubScrub,39.061,-78.072521,WGS84,753300.65,4327625.57,17N,179.8,0.1,vst_BLAN_2015
851d0f2a-4a11-474f-82cc-a51082097c59,BLAN_057,tower,shrubScrub,39.057517,-78.074409,WGS84,753149.71,4327233.68,17N,184.9,0.1,vst_BLAN_2018
5aaf2294-bc92-4781-a34a-8a8372062ca4,BLAN_063,tower,deciduousForest,39.060806,-78.075995,WGS84,753000.7,4327594.35,17N,191.9,0.4,vst_BLAN_2018
0fafceb3-f7d3-4119-8b84-fee70edd4f83,DCFS_070,tower,grasslandHerbaceous,47.16476,-99.108691,WGS84,491762.14,5223479.29,14N,567.2,0.2,vst_DCFS_2015
873bc4f0-cc4b-4b2c-be68-09be45b00207,DCFS_071,tower,grasslandHerbaceous,47.163665,-99.109879,WGS84,491671.93,5223357.73,14N,572.5,0.2,vst_DCFS_2015
084e98a5-cef9-406c-99c1-1d44ebc66ecc,DCFS_074,tower,grasslandHerbaceous,47.160432,-99.104738,WGS84,492061.1,5222997.91,14N,576.4,0.2,vst_DCFS_2015
009f27bd-0405-4b3a-b226-7c552411aa10,DCFS_077,tower,grasslandHerbaceous,47.161519,-99.109498,WGS84,491700.47,5223119.2,14N,569.7,0.2,vst_DCFS_2015
76c4e613-2d92-4f7b-bc41-4d61a6b5d1c2,DCFS_078,tower,grasslandHerbaceous,47.165555,-99.109487,WGS84,491701.93,5223567.72,14N,563,0.2,vst_DCFS_2015
f5230d55-3e75-4464-89fe-5b7967b21807,DCFS_079,tower,grasslandHerbaceous,47.160423,-99.110684,WGS84,491610.41,5222997.53,14N,567.1,0.2,vst_DCFS_2015
c7e557b5-5fe1-4a09-85c3-5c1f30de177c,DCFS_080,tower,grasslandHerbaceous,47.163661,-99.107109,WGS84,491881.88,5223356.99,14N,568.1,0.2,vst_DCFS_2015
1d61da91-4ad9-4341-946b-42239caaa659,DCFS_081,tower,grasslandHerbaceous,47.163394,-99.111067,WGS84,491581.84,5223327.74,14N,571.9,0.2,vst_DCFS_2015
3f9a76c7-8d10-4477-a5ce-471aa909f401,DCFS_087,tower,grasslandHerbaceous,47.164756,-99.10948,WGS84,491702.34,5223478.93,14N,565.5,0.3,vst_DCFS_2015
d5a807c7-9834-4b18-9f26-6fb464d0fd03,DCFS_088,tower,shrubScrub,47.162863,-99.108693,WGS84,491761.7,5223268.47,14N,571.3,0.2,vst_DCFS_2015
0f45e990-adcc-4666-a24d-e1c364d9927f,DCFS_089,tower,grasslandHerbaceous,47.165821,-99.107911,WGS84,491821.42,5223597.11,14N,569.8,0.2,vst_DCFS_2015
21a58fd1-00c9-46ce-8ae8-15beaa04ff2c,DELA_019,distributed,woodyWetlands,32.536383,-87.802597,WGS84,424634.03,3600176.14,16N,23.2,0.1,vst_DELA_2015
15a638b2-0757-4c1c-97b4-4570853d3be7,DELA_037,tower,woodyWetlands,32.539626,-87.801969,WGS84,424695.71,3600535.2,16N,27.7,0.2,vst_DELA_2015
a51a04a5-538b-4f9b-92a9-70ea2678cf70,DELA_038,tower,woodyWetlands,32.542291,-87.806805,WGS84,424243.83,3600834.07,16N,25.6,0.1,vst_DELA_2018
e1c228ac-f1f3-4d23-bc50-b299822ac6b9,DELA_039,tower,woodyWetlands,32.542583,-87.805845,WGS84,424334.22,3600865.75,16N,24.8,0.2,vst_DELA_2016
3527af20-12b6-4150-885f-9f937e68f62a,DELA_040,tower,woodyWetlands,32.53881,-87.804512,WGS84,424456.23,3600446.55,16N,33.9,0.2,vst_DELA_2018
d38d9e32-d4cf-4bb4-94bf-1f2ca4f3a2ba,DELA_041,tower,deciduousForest,32.540703,-87.807742,WGS84,424154.52,3600658.69,16N,23.9,0.2,vst_DELA_2016
a40ce58a-ce41-4fab-ab9d-aae6c41eab65,DELA_042,tower,deciduousForest,32.541787,-87.805204,WGS84,424393.75,3600777.06,16N,24.4,0.2,vst_DELA_2016
bda8aa4c-5129-4d03-a604-cab99c384e69,DELA_043,tower,deciduousForest,32.539604,-87.806783,WGS84,424243.64,3600536.18,16N,27.1,0.2,vst_DELA_2015
cea8fdcd-a005-4791-9a26-2387a057af8d,DELA_044,tower,deciduousForest,32.540689,-87.806192,WGS84,424300.05,3600656.04,16N,27.8,0.4,vst_DELA_2016
423dedb1-1576-409a-8eb8-d083edcbbf8b,DELA_045,tower,woodyWetlands,32.540165,-87.803564,WGS84,424546.38,3600596.08,16N,26.5,0.2,vst_DELA_2015
2fe31762-10b0-4ce1-a18e-ae2e9f4ecafc,DELA_046,tower,deciduousForest,32.537717,-87.805469,WGS84,424365.45,3600326.06,16N,27.2,0.3,vst_DELA_2017
abaa1f69-c485-4076-abc6-230a62a4b922,DELA_047,tower,woodyWetlands,32.539653,-87.800371,WGS84,424845.78,3600537.07,16N,23.5,0.3,vst_DELA_2017
b67d8163-3356-4cfd-85b5-a0773acac3ea,DELA_048,tower,deciduousForest,32.540206,-87.799129,WGS84,424962.87,3600597.5,16N,29.5,0.3,vst_DELA_2016
ff6e9464-383a-4400-afdd-675a3179ea2e,DELA_049,tower,woodyWetlands,32.542073,-87.802307,WGS84,424666.01,3600806.71,16N,24.2,0.2,vst_DELA_2015
2b15ba04-4852-44cb-860d-afbdbe00d8a8,DELA_050,tower,deciduousForest,32.539898,-87.805176,WGS84,424394.79,3600567.63,16N,26.2,0.2,vst_DELA_2016
f409d287-5eff-441f-a8df-0ac8b742d1a5,DELA_051,tower,deciduousForest,32.538534,-87.806139,WGS84,424303.22,3600417.1,16N,23.9,0.3,vst_DELA_2017
2d2f33c0-7241-4da5-8208-c64aa9034e3c,DELA_052,tower,deciduousForest,32.539602,-87.808066,WGS84,424123.17,3600536.87,16N,24.1,0.2,vst_DELA_2015
161d0c50-328e-445d-8abb-52c66172476c,DELA_053,tower,deciduousForest,32.537468,-87.804177,WGS84,424486.57,3600297.54,16N,26.6,0.2,vst_DELA_2017
96cdd4d8-059c-4e49-b596-6bc0b4d89082,DELA_054,tower,deciduousForest,32.541258,-87.803251,WGS84,424576.69,3600717.03,16N,24.5,0.3,vst_DELA_2015
d0aba948-bd85-45a6-9a57-b9bbab9c10ae,DELA_055,tower,deciduousForest,32.541758,-87.807767,WGS84,424153.06,3600775.66,16N,25.8,0.3,vst_DELA_2016
5c724416-f54b-4706-a25e-03686f868e4d,DELA_056,tower,woodyWetlands,32.540984,-87.801984,WGS84,424695.43,3600685.76,16N,30.1,0.3,vst_DELA_2017
c378588c-f00e-410b-a4c0-d9412718f0cd,DSNY_001,distributed,woodyWetlands,28.0967,-81.418579,WGS84,458880.85,3107985.14,17N,20.7,0.1,vst_DSNY_2017
638601b9-a709-4b80-9d12-612c9b72e3a1,DSNY_002,distributed,woodyWetlands,28.048244,-81.416879,WGS84,459029.47,3102616.71,17N,17.7,0.1,vst_DSNY_2017
2ae96f18-6c68-467a-9c03-12305b505a7c,DSNY_004,distributed,woodyWetlands,28.099732,-81.399974,WGS84,460709.63,3108314.87,17N,18.8,0.1,vst_DSNY_2017
06e917f5-c38d-4bf5-973e-676504687cc0,DSNY_005,distributed,woodyWetlands,28.039641,-81.393323,WGS84,461341.48,3101656,17N,19.5,0.1,vst_DSNY_2017
9f6854e9-1077-4d30-b677-c464e55e3370,DSNY_009,distributed,pastureHay,28.073118,-81.428559,WGS84,457891.25,3105376.18,17N,19,0.1,vst_DSNY_2017
